mint,symbol,name,pool_address,creation_timestamp,liquidity_usd,volume_24h_usd,price_change_1h,price_usd,buy_txn_count_24h,sell_txn_count_24h,holder_count,has_twitter,has_website,has_telegram,source,score,score_bonding,score_holders,score_social,score_liquidity,vol_liq_ratio,age_hours
"XsueG8BtpquVJX9LVLLEGuViXUungE6WmK5YZ3p3bd1","CRCLx","Circle xStock","GYqHjuDzTiw7i52Xv1qohDE6eJr6eSZpsrBVikGZyaFV",1770811433,1376410.97,50469.82,0.08,60.2,418,424,0,false,false,false,"dexscreener",58,16,17,0,25,0.037,114.3
"XsP7xzNPvEHS1m6qfanPUGjNmdnmsLKEoNAnHjdxxyZ","MSTRx","MicroStrategy xStock","2ngTuP7xA581dqX9uJkGRqxmKuehY3k4SDfPebeoRG2J",1751575467,348788.1,250027.12,-0.25,134.079,726,617,0,false,false,false,"dexscreener",57,18,17,0,22,0.717,5457.6
"XsDoVfqeBukxuZHWhdvWHBhgEHjGNst4MLodqsJHzoB","TSLAx","Tesla xStock","9p7abUFv31ycgu9kckvnoqMMvBy67dqTDM2m6HP9xokN",1751470463,72718.05,60601.06,0.17,417.51,1424,1031,0,false,false,false,"dexscreener",55,19,20,0,16,0.833,5486.8
"Xsc9qvGR1efVDFGLrVsmkzv3qi45LTBjeUKSPmx9qEh","NVDAx","NVIDIA xStock","6R4r93V5fcMzc13CL2enEepDSYcr4Qx3ptZBDwudTXCo",1751471766,42072.24,37937.78,0.03,182.26,1061,686,0,false,false,false,"dexscreener",48,18,17,0,13,0.902,5486.4
"XsCPL9dNWBMvFtTmwcCA5v3xWPSMEBCszbQdiLLq6aN","GOOGLx","Alphabet xStock","CGnNSLfS5bW1NwGgNYDRsQr58wZ3bnQ2rfZZfGDD7DBy",1765204336,28346.85,9458.87,0.92,308.97,498,143,0,false,false,false,"dexscreener",43,16,14,0,13,0.334,1671.8
"XsvNBAYkrDRNhA7wPHQfX3ZUXZyZLdnCQDfHZ56bzpg","HOODx","Robinhood xStock","wBsDf1BtQYN9W12V3Q7tVqYu3zixr7N2Sj3EKcLqvzy",1761919380,27948.85,9108.07,1.16,76.7,469,132,0,false,false,false,"dexscreener",43,16,14,0,13,0.326,2584.3
"XsvKCaNsxg2GN8jjUmq71qukMJr7Q1c5R2Mk9P8kcS8","CMCSAx","Comcast xStock","CcieQgPT9VsfE2LUtGHojhY5WQwjCXnKZPMRSZbRVuFX",1768382731,135069.91,76.13,0,45020.36,14,13,0,false,false,false,"dexscreener",42,10,13,0,19,0.001,788.9
"Xs3eBt7uRfJX8QUs4suhyU8p2M6DoUDrJyWBa8LLZsg","AMZNx","Amazon.com xStock","6m5aXAve4uh6Kt4ytKyCLWNMjd8PYP5vujwNCtycrUiD",1751413016,109904.6,2319.3,0,199.49,51,86,0,false,false,false,"dexscreener",42,11,12,0,19,0.021,5502.8
"XshPgPdXFRWB8tP1j82rebb2Q9rPgGX37RuqzohmArM","INTCx","Intel xStock","7BrUdabxunYCBpqJBkZr1sFJSLtzxDkH97XF14DG1Ryb",1769580234,100264.51,70.88,0,46809.95,14,12,0,false,false,false,"dexscreener",42,10,13,0,19,0.001,456.3
"XsbEhLAtcf6HdfpFZ5xEMdqW8nfAvcsP5bdudRLJzJp","AAPLx","Apple xStock","CKwJZwm7oj3nu4653N1EpDrqXbXAYXoPFiPeEnLouF8y",1751034866,69653.21,4445.71,0,256.24,136,23,0,false,false,false,"dexscreener",40,16,8,0,16,0.064,5607.8
"Xs7ZdzSHLU9ftNJsii5fCeJhoRWSC32SQGzGQtePxNu","COINx","Coinbase xStock","5kbYmsSDhSaUfuGSKUbQ1p75fEY6iihDEJLaFea91fn3",1761945640,20438.83,9178.59,0.63,167.18,487,136,0,false,false,false,"dexscreener",40,16,14,0,10,0.449,2577
"Xsa62P5mvPszXL1krVUnU5ar38bBSVcWAB6fmPCo5Zu","METAx","Meta xStock","3L7KbPVaAQA4UTecaGQYsm6UCq5F3sZM9zAYkxqYt63j",1755014213,60968.98,727.9,0,639.81,12,13,0,false,false,false,"dexscreener",39,10,13,0,16,0.012,4502.4
"XsqE9cRRpzxcGKDXj1BJ7Xmg4GRhZoyY1KpmGSxAWT2","MCDx","McDonald's xStock","CcPxuvtqXeefgnBnCKSKSLvdGdJ3kbWyb3LDevGX3PJg",1751848444,51382.824,163.152385399,0,328.6003312356017,25,10,0,false,false,false,"geckoterminal",38,12,10,0,16,0.003,5381.8
"XsuxRGDzbLjnJ72v74b7p9VY6N66uYgTCyfwwRjVCJA","MRVLx","Marvell xStock","ERvX5qQb6VnnKjvFDvr2awBRUhq8n6syr1LyxGQ8LvG3",1767796736,26998.17,83.51,0,26997.77,15,17,0,false,false,false,"dexscreener",36,10,13,0,13,0.003,951.7
"Xs8drBWy3Sd5QY3aifG9kt9KFs2K3PGZmx7jWrsrk57","TMOx","Thermo Fisher xStock","ycJ1BVCTDs9rgn2GuPNHf9mNCTy53MGA8nAx1SqoKS1",1768383498,14758.25,68.55,0,147543.33,12,14,0,false,false,false,"dexscreener",33,10,13,0,10,0.005,788.7
"Xs6B6zawENwAbWVi7w92rjazLuAr5Az59qgWKcNb45x","BRK.Bx","Berkshire Hathaway xStock","B4UdLnvzCrnfRndLdgGTYZjcKTDsaFKB54cmKb2GoSne",1757552216,10787.93,1349.49,0,516.97,15,5,0,false,false,false,"dexscreener",31,13,8,0,10,0.125,3797.4
"Xs5UJzmCRQ8DWZjskExdSQDnbE6iLkRu2jjrRAB1JSU","ACNx","Accenture xStock","GfTb2aUmj2zG5p5ZCv3T94iPNnmw4GHjmGPRvRjuRS9k",1769579819,9124.05,78.37,0,28273.42,16,19,0,false,false,false,"dexscreener",30,10,13,0,7,0.009,456.4
"Xsf9mBktVB9BSU5kf4nHxPq5hCBJ2j2ui3ecFGxPRGc","GMEx","Gamestop xStock","7gNaoXga7LS5mtnm5k4RLsn1uMdokfgWK1WhhSjX4B8L",1768907356,26.86,40.44,129,93.045,171,128,0,false,false,false,"dexscreener",30,13,15,0,2,1.506,643.2
